Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6019001100,2780,Fresno ,93706,Fresno,-119.7816961,36.7096952,93.1835697319383,100,95-100% (highest scores),0.060311,82.4766645924082,13.90634758,97.7100186683261,1.122711827,98.7181082762912,733.946935,84.3886599225678,89.60085405,96.471329552615,1.001924749,42.8965517241379,4859.094604,92.1980495123781,1037.095744,60.375,70.5,98.1896229936544,54.25,91.1671924290221,3.1,96.3070814030443,0,0,6,79.9541809851088,78.9774037081157,9.64312530553094,99.9253266957063,129.54,97.2208374875374,7.8,95.6248396202207,21.47,92.2482552342971,44.5,93.2295621361681,16,79.3747462444174,76,98.9195979899498,12.8,93.8313378448725,30.3,91.0392902408112,93.1551088359644,9.66321257678688,99.7226424609178
6077000700,4680,San Joaquin,95206,Stockton,-121.2878729,37.9431727,86.65379027372,99.9873928391326,95-100% (highest scores),0.04588368,44.9782202862477,11.88408494,72.5948973242066,0.538105428,91.1512134411948,389.8465692,41.5511427500937,77.30227239,86.830497794581,63.13257433,73.6551724137931,519.6280009,52.3505876469117,856.395935,48.2875,61.9,97.4617394550205,78.6,95.0855055620123,1.27,88.5771012574454,13,91.8731625367493,9.25,89.2783505154639,73.4349932598651,8.96639809068491,99.2906036092097,105.88,94.2173479561316,6.88,88.7220939183988,20.26,88.1231306081755,46.4,94.4697544925335,29.7,95.5339017458384,73.2,98.391959798995,19.8,99.2061426340448,31.2,92.2813688212928,93.1654081630547,9.66428095176186,99.7352496217852
6037204920,2751,Los Angeles,90023,Los Angeles,-118.1974975,34.0175004,82.3939086147886,99.9747856782652,95-100% (highest scores),0.04791979,53.7274424393279,12.25164028,89.2097075295582,0.780832555,96.5525824517735,787.9403354,92.5315349069564,92.56365969,98.3994959042218,0,0,3682.693278,87.7344336084021,2522.622269,92.8375,38.75,92.9637924598731,20.5,68.9191432840777,11.62,99.6558570483124,7,66.7366652666947,4.85,73.0813287514318,77.6731771907126,9.48387950681369,99.8630989421282,76.1,82.7642073778664,7.11,90.8904285347703,20.87,90.1545363908275,52.2,97.3930650468236,17.1,81.5536608472053,62.6,93.391959798995,6.4,61.5304528891202,20.3,63.9670468948035,83.7518139316055,8.68778526293937,95.7892082702975
6019000700,3664,Fresno ,93706,Fresno,-119.8277069,36.7345353,81.3279401071887,99.9621785173979,95-100% (highest scores),0.060311,82.4766645924082,13.52093888,95.8805227131301,0.173815291,57.0877411325451,733.946935,84.3886599225678,68.38508407,77.0006301197227,44.57487362,71.5862068965517,1630.342707,74.9312328082021,690.502159,35.275,16.5,77.3236282194849,9.5,44.8281587248879,2.36,94.1230972865652,0,0,5.75,78.1443298969072,67.846835790617,8.28408517366177,97.3988799004356,139.45,98.2427716849452,10.65,99.7818835001283,22.68,94.5663010967099,41.4,90.9390027841053,15.7,78.7115983218297,65.7,95.3517587939699,15.7,97.3451327433628,35.4,96.4131812420786,94.6412267688319,9.81737130923773,99.8865355521936
6019000200,2689,Fresno ,93706,Fresno,-119.8055044,36.7354914,80.7454762764767,99.9495713565305,95-100% (highest scores),0.060311,82.4766645924082,13.81895941,97.4735532047293,1.389658091,99.3030491599253,733.946935,84.3886599225678,75.41453511,85.1165721487083,16.62549609,64.4137931034483,1975.207988,78.9572393098275,909.6508821,52.2625,10.5,62.4486748786861,28.25,78.0508052465549,0.35,56.3997352746525,0,0,0,0,66.8259503134608,8.15943525967881,96.9383945239577,139.08,98.1679960119641,10.25,99.6664100590198,22.64,94.4292123629113,43.6,92.5715008858517,20,86.5611043442956,72.7,98.3040201005025,13.7,95.288912024987,32.7,94.1571609632446,95.398872904204,9.89596383900412,99.9495713565305
6037542402,3306,Los Angeles,90221,Compton,-118.2124134,33.881969,80.7088130303389,99.9369641956631,95-100% (highest scores),0.04259906,29.8942128189172,12.25258001,89.2221530802738,0.519798375,90.6409458618544,459.7365647,55.3141001623579,91.08803398,97.4921235034656,0.406702708,36.0689655172414,12491.99626,98.3620905226307,1480.520959,77.6625,19.4,81.2989921612542,53.3,91.0011622115225,2.72,95.3408338848445,10,82.9693406131877,5.5,77.6174112256587,76.4366069619929,9.33289452750615,99.7759800871189,86.77,88.5967098703888,6.28,80.0359250705671,22.2,93.6689930209372,33.1,83.5737787901797,NA,NA,43.5,74.0452261306533,9.3,83.2248828735034,23.7,76.3498098859316,83.3661502036823,8.64777939924981,95.4614220877458
6019001000,4255,Fresno ,93706,Fresno,-119.804314,36.6977507,80.5451374220615,99.9243570347958,95-100% (highest scores),0.060311,82.4766645924082,13.55379682,96.0174237710019,0.096560751,36.1916614810205,790.5904927,92.6938928437617,65.01360121,72.9048519218652,1321.966958,90.8275862068966,3178.098409,85.4838709677419,243.2723063,5.7,15.45,75.3826054497947,20,68.4210526315789,0.56,72.9715420251489,0,0,5,75.6701030927835,66.3543495286784,8.10185289753064,96.7019290603609,139.35,98.2303090727817,8.76,98.3962022068258,22.68,94.5663010967099,44.2,92.9891166793217,21.7,88.6994180538639,79.5,99.4095477386935,15.4,97.1369078604893,33.3,94.828897338403,95.83852416313,9.941569964398,99.9873928391326
6037543202,5124,Los Angeles,90220,Compton,-118.230032,33.8798617,79.2901191067663,99.9117498739284,95-100% (highest scores),0.04192559,26.6957062850031,12.21666021,88.6372121966397,0.376144696,83.1736154324829,459.2002544,55.1642312976146,91.3507312,97.7063642091997,1.658628781,46.0689655172414,14883.20671,98.9872468117029,1575.35455,79.6,22.5,84.2105263157895,63.5,93.0765399302673,1.785,91.8332230311052,7,66.7366652666947,1.7,43.2073310423826,73.273730851573,8.94670798266388,99.2532669570628,114.33,95.4636091724825,6.32,80.7287657172184,18.18,81.3060817547358,43.3,92.3310554290053,9.7,60.6171335769387,56.8,88.9195979899498,12.6,93.492972410203,29.6,89.8352344740177,85.4360088287509,8.86249101461761,96.8986384266263
6019001202,4561,Fresno ,93725,Unincorporated Fresno County area,-119.7410277,36.7026849,79.1730283516684,99.899142713061,95-100% (highest scores),0.06133785,84.5799626633479,13.96606425,97.8967019290604,0.202941599,62.5513378967019,788.309634,92.5814911952042,60.35891917,66.3264020163831,8.993621886,59.448275862069,25576.25792,99.6874218554639,438.594055,16.6,31.15,89.1937290033595,48.55,89.7725386020256,1.205,87.9020516214428,0,0,7,83.2760595647194,71.648924704289,8.74831947481469,98.8799004355943,89.27,89.3444666001994,6.83,88.0934051834745,14.13,61.129112662014,52.4,97.4310301189572,22.4,89.6197049668426,72.2,98.1155778894472,16.3,97.9047371160854,30.8,91.7617237008872,87.2444414535033,9.05008425670754,98.0458900655572
6077000100,3688,San Joaquin,95202,Stockton,-121.2853628,37.953996,77.8699104812328,99.8865355521936,95-100% (highest scores),0.04588368,44.9782202862477,11.87572931,72.1966397013068,0.519796827,90.6285003111388,389.8465692,41.5511427500937,79.34649301,88.708254568368,16.09037941,63.9310344827586,369.7826741,45.5488872218055,287.4559495,7.6125,54,96.5845464725644,75.85,94.9194753445127,1.32,89.0403706154864,2,23.8765224695506,9,88.9347079037801,64.1533064638695,7.83310597650921,95.2209085252022,238.03,99.9626121635095,9.72,99.3584808827303,20.57,89.1326021934197,48.6,95.7858769931663,24,91.392610637434,78.8,99.3090452261306,14.6,96.4601769911504,33.1,94.638783269962,95.8342651850609,9.94112816994405,99.9747856782652
