Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6037227010,5705,Los Angeles,90011,Los Angeles,-118.2469968,34.0185256,76.6535544451483,99.8234997478568,95-100% (highest scores),0.04632538,46.994399502178,12.09940492,84.3932794026136,0.565082216,91.8855009334163,787.9403354,92.5315349069564,95.59372496,99.5715185885318,0,0,2762.896647,83.8084521130283,832.5616204,46.5,53.15,96.3979096677865,4.55,27.7768553876806,3.065,96.2409000661813,7,66.7366652666947,7.25,83.9175257731959,70.2117141979963,8.57283635746853,98.5189794648413,68.48,77.3678963110668,5.57,66.0508083140878,21.83,93.2826520438684,63.2,99.6203492786636,28.3,94.7895520368115,68.6,96.8592964824121,8.4,77.7589796980739,39.5,98.4410646387833,86.1971503249783,8.94144612691328,97.3651033787191
6037226001,2615,Los Angeles,90021,Los Angeles,-118.2502739,34.0244835,76.5227620443192,99.8108925869894,95-100% (highest scores),0.04632538,46.994399502178,12.15802236,87.2930927193528,0.628748892,93.8643434971998,787.9403354,92.5315349069564,97.65588113,99.9621928166352,0,0,2607.823324,83.1082770692673,2429.418553,91.9375,49.05,95.5953714072415,8.6,42.1550722231446,4.435,97.445400397088,7,66.7366652666947,9.5,89.8281786941581,75.7583242418543,9.25007634210407,99.6764156813939,72.02,79.9227318045862,5.24,58.5578650243777,13.67,58.3499501495513,44.6,93.3561123766135,28.1,94.6271484639329,71.9,98.0150753768844,9.6,84.5783446121812,40.8,98.871989860583,79.7499582321054,8.2726627558744,92.3600605143722
6037239202,5999,Los Angeles,90001,Los Angeles,-118.2649765,33.9856783,76.2397368207962,99.7730711043873,95-100% (highest scores),0.04490202,39.9875544492844,12.14495497,86.7828251400124,0.231532617,67.3926571250778,787.9403354,92.5315349069564,91.13007675,97.5551354757404,0,0,3873.586792,88.7096774193548,1052.626827,61.2875,127.95,99.6640537513998,44.6,88.0458243400299,0.56,72.9715420251489,0,0,6,79.9541809851088,67.229613783148,8.20872248914821,97.0877411325451,84.75,87.5997008973081,6.38,81.8835001283038,21.32,91.8619142572283,52.9,97.6082004555809,23.3,90.580592773041,57.5,89.6608040201005,9.1,82.3269130661114,46,99.5944233206591,89.534612577356,9.28764943894545,98.9409984871407
6037226002,1820,Los Angeles,90021,Los Angeles,-118.2477686,34.0326196,75.5456955477896,99.7226424609178,95-100% (highest scores),0.04716458,50.5413814561294,12.25156535,89.1972619788426,0.703502823,95.457373988799,787.9403354,92.5315349069564,64.02110818,71.5942028985507,0,0,2428.106649,82.2455613903476,1931.043768,85.9375,58.7,97.2004479283315,28.3,78.1172173335547,6.875,98.7557908669755,7,66.7366652666947,15.05,96.0366552119129,76.4151864921334,9.33027909239104,99.7635345364032,134.16,97.6570289132602,5.83,71.6448550166795,14.79,65.09222333001,25.7,74.4115413819286,24.4,91.8121532007037,44.5,75.4020100502512,8.7,79.7241020301926,21.4,68.5424588086185,78.0549110904944,8.09683127371807,90.4059505799294
6037239201,3753,Los Angeles,90003,Los Angeles,-118.2771699,33.9857805,72.9334365746763,99.457892082703,95-100% (highest scores),0.04490202,39.9875544492844,12.05259566,81.3192283758556,0.784235883,96.5899191039204,787.9403354,92.5315349069564,91.63932226,97.8701953371141,0,0,3780.143188,88.1470367591898,3970.780012,98.675,27.6,87.6633072041807,19.05,66.9599867175826,0.225,39.7749834546658,0,0,1.25,38.991981672394,65.1527230142816,7.95513453880107,95.9551960174238,113.88,95.426221335992,6.38,81.8835001283038,27.88,99.2273180458624,51.8,97.2918248544672,18.3,84.0438489646772,52.7,84.9497487437186,6,57.2488287350338,43.6,99.3916349809886,88.3820952129149,9.16809592835224,98.6006051437216
6037219902,3809,Los Angeles,90016,Los Angeles,-118.368517,34.02931,72.7780146715032,99.4452849218356,95-100% (highest scores),0.04588368,44.9782202862477,11.84882762,71.2258867454885,0.357143826,81.8419415059116,787.9403354,92.5315349069564,79.90575428,89.174543163201,0.136147237,28.2758620689655,2039.298991,79.7699424856214,2253.086852,90.2375,7.1,50.5599104143337,30,79.6945043998008,1.045,85.638649900728,7,66.7366652666947,2.5,59.1752577319588,70.9566184444337,8.6637890179987,98.7803360298693,88.26,89.1076769690927,8.33,97.6648704131383,15.22,67.809072781655,32,82.4601366742597,13.7,73.3658140479091,46.1,77.5753768844221,6.2,59.3831337844872,31.6,92.7122940430925,80.9799455707314,8.40025242077221,93.4947049924357
6037239330,2458,Los Angeles,90001,Los Angeles,-118.2631029,33.9783876,71.2445373289306,99.256177508825,95-100% (highest scores),0.04490202,39.9875544492844,12.14625901,86.8823895457374,0.202791434,62.5140012445551,787.9403354,92.5315349069564,90.5161062,97.0888468809074,0,0,4239.376709,90.2725681420355,1230.505058,69.825,68.15,97.9843225083987,28.25,78.0508052465549,0.445,65.175380542687,0,0,2.7,60.1145475372279,65.0134949864476,7.93813482425731,95.8556316116988,113.45,95.3140578265204,6.68,86.15601744932,27.79,99.0154536390828,50.1,96.5831435079727,7.8,52.5104885640817,61.2,92.4497487437186,6,57.2488287350338,41,98.93536121673,86.5203452292409,8.97497194318519,97.6046394351992
6037208000,7508,Los Angeles,90026,Los Angeles,-118.2560631,34.0625684,69.8143566860454,99.0544629349471,95-100% (highest scores),0.04791979,53.7274424393279,12.53587816,91.275668948351,0.769370291,96.3907902924704,787.9403354,92.5315349069564,58.33828501,63.528670447385,0.046765733,20.551724137931,1906.571736,78.2445611402851,2879.594269,95.275,25.65,86.5808137364688,20,68.4210526315789,0.96,84.7121111846459,7,66.7366652666947,9.2,89.1408934707904,75.6665517787375,9.23887094258621,99.639079029247,41.43,43.8434695912263,7.59,94.5085963561714,10.45,33.5992023928215,31.9,82.3082763857251,18.8,84.7881986737042,59.6,91.4572864321608,10.1,86.7516918271733,35.6,96.5779467680608,72.8468847320523,7.55658966554439,83.8502269288956
6037239310,4501,Los Angeles,90003,Los Angeles,-118.2773062,33.9785291,69.5718894737828,98.9914271306102,95-100% (highest scores),0.04435661,37.5731176104543,12.13275518,86.3845675171126,0.72354785,95.8431860609832,787.9403354,92.5315349069564,93.22796914,98.82797731569,0,0,4144.716634,89.9599899974994,3767.169464,98.3875,14.35,73.8148562896603,8.25,41.4245392661464,0.06,8.76240900066181,0,0,0.9,26.5521191294387,59.9959176964518,7.32548963378692,90.8774113254511,113.88,95.426221335992,6.57,84.526558891455,27.88,99.2273180458624,50.7,96.8109339407745,23.8,91.2166734334822,68.1,96.6206030150754,7,67.4778761061947,38.7,98.1242078580482,91.5550458142424,9.49723403510129,99.457892082703
6037228900,2918,Los Angeles,90058,Los Angeles,-118.2430143,33.9920544,69.5592483216759,98.9788199697428,95-100% (highest scores),0.04588368,44.9782202862477,12.16800708,87.4673304293715,0.267141693,72.6446795270691,787.9403354,92.5315349069564,95.32558646,99.5085066162571,0,0,3601.543335,87.2843210802701,508.4178425,21.525,54.85,96.7338559163867,0.75,4.41640378548896,9.525,99.3249503639974,0,0,8,86.5063001145475,61.2937334158757,7.48395267534429,92.482887367766,80.43,85.468594217348,6.09,77.0464459840903,19.67,86.2911266201396,61.9,99.4811440141736,23.1,90.3369874137231,77.8,99.1457286432161,17,98.204060385216,32.7,94.1571609632446,89.6002026122203,9.29445325741266,98.9914271306102
